date,hostname,os,uptime_hours,adobe_runtime_minutes,cpu_usage_percent,memory_usage_percent,disk_free_gb,health_status,ticket_opened
2025-10-04,WS-001,Windows 10,19.78,199.1,49.2,75.2,153.5,Warning,False
2025-10-05,WS-001,Windows 10,20.95,23.2,59.3,71.3,78.1,Healthy,False
2025-10-06,WS-001,Windows 10,21.14,135.5,34.4,12.2,149.6,Healthy,False
2025-10-07,WS-001,Windows 10,23.2,333.6,50.9,57.4,158.8,Healthy,False
2025-10-08,WS-001,Windows 10,20.8,236.8,49.4,42.3,118.3,Healthy,False
2025-10-09,WS-001,Windows 10,21.68,148.0,44.9,50.4,231.1,Healthy,False
2025-10-10,WS-001,Windows 10,19.47,245.5,86.7,78.9,217.5,Critical,True
2025-10-11,WS-001,Windows 10,23.76,119.5,21.3,70.5,156.9,Healthy,False
2025-10-12,WS-001,Windows 10,19.31,127.2,28.0,57.7,246.6,Critical,False
2025-10-13,WS-001,Windows 10,23.78,167.6,35.6,24.8,288.0,Healthy,False
2025-10-14,WS-001,Windows 10,21.64,155.4,62.7,37.0,266.8,Healthy,False
2025-10-15,WS-001,Windows 10,22.59,117.7,43.9,74.5,263.6,Healthy,False
2025-10-16,WS-001,Windows 10,24.0,200.3,95.6,36.6,168.1,Warning,True
2025-10-17,WS-001,Windows 10,21.88,94.9,60.6,73.1,201.5,Healthy,False
2025-10-18,WS-001,Windows 10,20.93,90.3,33.2,69.9,183.0,Healthy,False
2025-10-19,WS-001,Windows 10,21.15,210.1,62.4,60.1,225.2,Healthy,False
2025-10-20,WS-001,Windows 10,24.0,190.5,40.4,68.5,179.5,Healthy,False
2025-10-21,WS-001,Windows 10,21.26,256.4,40.6,1.9,227.6,Healthy,False
2025-10-22,WS-001,Windows 10,21.21,162.7,51.8,51.7,217.2,Healthy,False
2025-10-23,WS-001,Windows 10,17.96,123.4,66.1,54.6,66.1,Warning,False
2025-10-24,WS-001,Windows 10,22.2,154.0,35.1,55.1,238.2,Healthy,False
2025-10-25,WS-001,Windows 10,21.48,145.5,38.7,61.8,199.4,Healthy,False
2025-10-26,WS-001,Windows 10,23.53,111.0,33.4,70.5,135.9,Healthy,False
2025-10-27,WS-001,Windows 10,24.0,264.3,65.9,37.4,206.2,Healthy,False
2025-10-28,WS-001,Windows 10,21.01,235.4,70.6,72.5,200.7,Healthy,False
2025-10-29,WS-001,Windows 10,21.27,218.9,26.7,65.7,126.8,Healthy,False
2025-10-30,WS-001,Windows 10,23.24,170.3,39.2,37.3,171.5,Healthy,False
2025-10-31,WS-001,Windows 10,23.11,242.6,52.9,82.3,403.1,Healthy,False
2025-11-01,WS-001,Windows 10,21.35,167.6,23.4,78.8,304.0,Healthy,False
2025-11-02,WS-001,Windows 10,20.27,217.1,63.3,59.5,267.8,Healthy,False
2025-10-04,WS-002,Windows 10,22.59,137.1,73.0,64.5,104.7,Healthy,False
2025-10-05,WS-002,Windows 10,23.31,121.5,56.8,78.2,134.3,Healthy,False
2025-10-06,WS-002,Windows 10,23.93,204.8,57.3,92.9,180.4,Warning,False
2025-10-07,WS-002,Windows 10,20.49,175.4,50.1,60.5,266.2,Healthy,False
2025-10-08,WS-002,Windows 10,22.03,267.2,41.0,100.0,250.1,Warning,True
2025-10-09,WS-002,Windows 10,20.29,115.7,52.2,50.5,257.1,Healthy,False
2025-10-10,WS-002,Windows 10,22.95,175.6,32.3,24.7,164.3,Healthy,False
2025-10-11,WS-002,Windows 10,23.71,192.8,26.3,58.5,230.8,Healthy,False
2025-10-12,WS-002,Windows 10,20.23,189.2,45.9,32.1,228.6,Healthy,False
2025-10-13,WS-002,Windows 10,23.12,245.0,60.8,27.4,125.0,Healthy,False
2025-10-14,WS-002,Windows 10,23.03,210.8,52.7,100.0,245.7,Critical,False
2025-10-15,WS-002,Windows 10,24.0,161.1,56.4,39.5,181.1,Healthy,False
2025-10-16,WS-002,Windows 10,21.03,184.9,79.7,17.7,254.9,Healthy,False
2025-10-17,WS-002,Windows 10,18.77,151.7,61.3,56.3,113.8,Critical,False
2025-10-18,WS-002,Windows 10,20.54,193.0,45.7,42.0,371.5,Healthy,False
2025-10-19,WS-002,Windows 10,23.27,58.5,47.8,41.8,268.2,Healthy,False
2025-10-20,WS-002,Windows 10,20.41,173.1,52.6,72.3,104.0,Healthy,False
2025-10-21,WS-002,Windows 10,21.33,151.5,35.2,90.3,232.4,Warning,False
2025-10-22,WS-002,Windows 10,24.0,241.9,22.2,45.3,301.4,Healthy,False
2025-10-23,WS-002,Windows 10,20.58,206.6,56.6,36.5,195.2,Healthy,False
2025-10-24,WS-002,Windows 10,15.52,118.5,41.2,30.0,330.6,Warning,True
2025-10-25,WS-002,Windows 10,19.14,266.5,23.5,78.3,200.8,Warning,False
2025-10-26,WS-002,Windows 10,22.4,144.0,46.0,47.3,209.1,Healthy,False
2025-10-27,WS-002,Windows 10,23.32,275.2,26.4,97.7,43.8,Critical,False
2025-10-28,WS-002,Windows 10,22.56,142.6,41.9,45.1,152.9,Healthy,False
2025-10-29,WS-002,Windows 10,23.7,201.4,34.6,73.0,224.6,Healthy,False
2025-10-30,WS-002,Windows 10,23.63,217.8,32.6,43.8,259.8,Healthy,False
2025-10-31,WS-002,Windows 10,23.22,178.7,46.8,80.6,152.7,Healthy,False
2025-11-01,WS-002,Windows 10,23.09,167.9,41.7,77.0,266.0,Healthy,False
2025-11-02,WS-002,Windows 10,23.63,258.3,45.3,68.6,175.2,Healthy,False
